"No","Pemohon/ Penanggung Jawab Izin","Perusahaan/Instansi","Alamat","Sumber Air","long0","long1","long2","lat0","lat1","lat2","Desa","Kecamatan","Kab/Kota","Jenis Usaha","Debit Izin (liter/detik)","Tanggal Surat Keputusan","Nomor Surat Keputusan","Masa Berlaku Izin","Status","Perpanjangan","Keterangan"
"1","Plh. Direktur Utama","Perumdam Tirta Wijaya Kabupaten Cilacap","Jalan MT. Haryono Nomor 16 Cilacap","Sungai Citanduy","7","21","20,22","108","40","8,14","","","","Usaha air minum","150","04-Jul-24","1601/KPTS/M/2024","04-Jul-29","Berlaku","",""
"2","Plh. Direktur Utama","Perumdam Tirta Wijaya Kabupaten Cilacap","Jalan MT. Haryono Nomor 16 Cilacap","Sungai Citanduy","7","17","27,43","108","45","32,71","","","","Usaha air minum","15","04-Jul-24","1604/KPTS/M/2024","04-Jul-29","Berlaku","","Pemegang izin dilarang melakukan pengambilan air pada Juli I s.d. September I karena NA Defisit"
"3","Plh. Direktur Utama","Perumdam Tirta Wijaya Kabupaten Cilacap","Jalan MT. Haryono Nomor 16 Cilacap","Sungai Citanduy","7","26","44,53","108","43","13,75","","","","Usaha air minum","150","15-Jul-24","1720/KPTS/M/2024","15-Jul-29","Berlaku","","Pemegang izin dilarang melakukan pengambilan air pada Juni I s.d. Oktober I karena NA Defisit"
"4","Direktur","PT Shoetown Ligung Indonesia","Jl. Lanud S. Sukani, Desa Buntu, Kec. Ligung, Kab. Majalengka","Kolam Air Hujan ","6","66","775,1","108","26","997,3","","","","Kebutuhan sanitasi, hydrant, dan gardening","13,8","14-Aug-24","1987/KPTS/M/2024","14-Aug-29","Berlaku","","Lokasi jauh di luar WS Citanduy"
"5","Direktur","Perumda Air Minum Tirta Sukapura Kabupaten Tasikmalaya","Jl. AH. Nasution KM. 8, Cibanjaran, Tasikmalaya","Mata Air Sanghiang","7","10","10,33","108","7","19,89","","","","Usaha air minum","15","29-Aug-24","2209/KPTS/M/2024","29-Aug-29","Berlaku","",""
"6","Direktur","Perumda Air Minum Tirta Sukapura Kabupaten Tasikmalaya","Jl. AH. Nasution KM. 8, Cibanjaran, Tasikmalaya","Mata Air Cibunigeulis","7","18","47,69","108","9","38,05","","","","Usaha air minum","18","29-Aug-24","2210/KPTS/M/2024","29-Aug-29","Berlaku","",""
"7","Direktur","Perumda Air Minum Tirta Sukapura Kabupaten Tasikmalaya","Jl. AH. Nasution KM. 8, Cibanjaran, Tasikmalaya","Mata Air Cisaladah","7","12","7,76","108","6","58,17","","","","Usaha air minum","5","29-Aug-24","2225/KPTS/M/2024","29-Aug-29","Berlaku","",""
"8","Direktur","Direktorat Pengendalian Pencemaran Air, Direktorat Jenderal Pengendalian Pencemaran dan Kerusakan Lingkungan, Kementerian Lingkungan Hidup dan Kehutanan","Jalan D.I. Panjaitan Kav. 24, Kebon Nanas, Jakarta","Sungai Citanduy","7","26","44,2","108","43","14,8","","","","Konstruksi prasarana ONLIMO","","25-Sep-24","2468/KPTS/M/2024","Sepanjang umur layan konstruksi","Berlaku","","Durasi pembangunan maksimal 5 tahun. Konstruksi yang dibangun tidak boleh mempersempit palung dan alur sungai dan/atau mengganggu aliran sungai."
"9","Project Manager Pipeline & Aviation Fac","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lt. 2, Jalan HR. Rasuna Said Kav. C7-9, Setiabudi, Kuningan, Jakarta Selatan, DKI Jakarta","Sungai Cikawalu-1","7","22","43,8","108","36","17,8","","","Banjar","Pipa","","25-Sep-24","2544/KPTS/M/2024","Sepanjang umur layan konstruksi","Berlaku","","Kedalaman konstruksi perlintasan pipa sekurang-kurangnya 4,843 meter di bawah dasar sungai."
"10","Muhammad Fathoni","PT Pertamina Patra Niaga","Gedung Wisma Tugu II Lantai 2, Jalan HR. Rasuna Said, Kav. C7-9, Kuningan, Jakarta","Sungai Cibeureum","7","37","15","108","56","37","","","","Konstruksi perlintasan pipa","","20-Feb-24","434/KPTS/M/2024","Sepanjang umur layan konstruksi","Berlaku","",""
